date,Adj Close,Volume,EMA_5,EMA_10,MACD,RSI,Bollinger_High,Bollinger_Low,OBV,ADX,MFI,MOM,SAR,Interest Rate,Yield Spread,GDP,Unemployment Rate,Inflation Rate,news_sentiment
2/18/14,4272.779785,1886210000,4226.241534,4185.520651,28.41305201,64.42308549,4306.883823,3972.797061,85512230000,21.52688699,61.78134866,6.900740235,4038.08532,0.07,2.4,17197.738,6.7,235.547,0
2/19/14,4237.950195,1956720000,4230.144421,4195.053295,31.21746655,59.67309507,4308.826576,3972.07335,83555510000,21.28964521,62.16691876,5.120405574,4066.794691,0.07,2.4,17197.738,6.7,235.547,0
2/20/14,4267.549805,1992780000,4242.612882,4208.234479,35.42012522,62.22232353,4313.35223,3970.002677,85548290000,20.93699729,62.02600067,6.381567044,4092.058937,0.07,2.42,17197.738,6.7,235.547,0
2/21/14,4263.410156,2138250000,4249.545307,4218.26642,37.97892999,61.63550076,4320.607466,3967.200468,83410040000,20.82556331,69.78163349,5.084642138,4114.291474,0.07,2.4,17197.738,6.7,235.547,-0.027777778
2/24/14,4292.970215,2161300000,4264.020276,4231.848928,41.90895061,64.22973622,4340.152419,3964.135545,85571340000,21.15750687,78.33875077,4.050315743,4138.169682,0.07,2.4,17197.738,6.7,235.547,0
2/25/14,4287.589844,2137150000,4271.876799,4241.98364,44.08122831,63.38952404,4356.406961,3968.278977,83434190000,21.46574019,78.06456246,3.360998332,4165.843314,0.07,2.36,17197.738,6.7,235.547,0
2/26/14,4292.060059,2108270000,4278.604552,4251.088443,45.63740345,63.8130747,4371.598355,3972.497592,85542460000,21.91234627,85.38759148,2.410142055,4189.089165,0.07,2.34,17197.738,6.7,235.547,0.1
2/27/14,4318.930176,2049160000,4292.046427,4263.423304,48.48002974,66.33430989,4386.693761,3984.152211,87591620000,22.42658272,85.5045912,2.800095581,4212.080683,0.07,2.32,17197.738,6.7,235.547,0.043232323
2/28/14,4308.120117,2617730000,4297.404323,4271.549997,49.29233878,64.39061793,4400.591273,3988.753722,84973890000,23.25338662,85.83750633,1.590555185,4234.156539,0.07,2.33,17197.738,6.7,235.547,-0.083333333
3/3/14,4277.299805,2077500000,4290.702817,4272.595417,46.90842675,59.07575376,4407.83944,3998.847548,82896390000,22.89969413,78.8890607,0.78415712,,0.08,2.28,17197.738,6.7,236.028,0.161904762
3/4/14,4351.970215,2477850000,4311.125283,4287.027198,50.46273436,66.3274797,4412.032261,4030.155752,85374240000,23.76199117,79.29246145,1.853370257,4239.649902,0.08,2.37,17197.738,6.7,236.028,0.001388889
3/5/14,4357.970215,2215980000,4326.74026,4299.925929,53.15100688,66.83600773,4416.165166,4058.667866,87590220000,24.63544139,79.46942455,2.832029967,4239.649902,0.08,2.37,17197.738,6.7,236.028,0.425
3/6/14,4352.129883,2136260000,4335.203468,4309.417557,54.18559839,65.79441185,4406.82606,4102.064956,85453960000,25.57692917,79.43970142,1.981935349,4244.563906,0.08,2.37,17197.738,6.7,236.028,0
3/7/14,4336.220215,2175560000,4335.542384,4314.290767,53.10952878,62.91786792,4394.855337,4141.945688,83278400000,25.78243999,72.38407053,1.707789209,4252.19267,0.08,2.42,17197.738,6.7,236.028,0
3/10/14,4334.450195,2111610000,4335.178321,4317.956118,51.52001937,62.59000777,4390.026558,4167.6335,81166790000,25.63849816,65.62401874,0.966230335,4259.363707,0.08,2.42,17197.738,6.7,236.028,0.016666667
3/11/14,4307.189941,2477780000,4325.848861,4315.998631,47.51294736,57.61085473,4380.899246,4192.662814,78689010000,25.76598652,64.44605475,0.457135556,4266.104482,0.08,2.4,17197.738,6.7,236.028,0
3/12/14,4323.330078,2131880000,4325.009267,4317.331621,45.11957766,59.65719817,4377.760505,4209.029583,80820890000,25.13331541,57.77103518,0.728555032,,0.08,2.36,17197.738,6.7,236.028,0
3/13/14,4260.419922,2383600000,4303.479485,4306.98404,37.71177324,49.60525956,4371.207218,4221.495858,78437290000,23.81456769,50.54106615,-1.354739519,,0.08,2.32,17197.738,6.7,236.028,0
