date,Adj Close,Volume,EMA_5,EMA_10,MACD,RSI,Bollinger_High,Bollinger_Low,OBV,ADX,MFI,MOM,SAR,Interest Rate,Yield Spread,GDP,Unemployment Rate,Inflation Rate,news_sentiment
1/27/14,1781.560059,4045200000,1808.547847,1820.603895,0.133657066,34.53615779,1867.425334,1798.258663,1.19096E+11,20.69993301,55.12340964,-3.3006365,,0.07,2.41,17197.738,6.6,235.288,0
1/28/14,1792.5,3437830000,1803.198565,1815.494096,-2.275659859,39.58952965,1868.905988,1791.888006,1.22534E+11,22.70093479,54.98213166,-1.467675456,,0.07,2.39,17197.738,6.6,235.288,0
1/29/14,1774.199951,3964020000,1793.53236,1807.986069,-5.597200834,34.75632141,1872.298007,1781.808988,1.1857E+11,24.85408225,47.70184763,-3.517361304,,0.07,2.33,17197.738,6.6,235.288,0
1/30/14,1794.189941,3547510000,1793.751554,1805.477682,-6.541118892,42.94961903,1870.636799,1778.053192,1.22117E+11,26.01938559,47.5749392,-2.931759883,,0.07,2.36,17197.738,6.6,235.288,0
1/31/14,1782.589966,4059690000,1790.031025,1801.316279,-8.131467344,39.82427823,1871.429255,1772.321733,1.18058E+11,27.2895679,40.60686963,-3.429242714,,0.07,2.33,17197.738,6.6,235.288,-0.7
2/3/14,1741.890015,4726040000,1773.984021,1790.511504,-12.5315203,31.23586242,1877.709163,1757.093827,1.13332E+11,29.44233215,39.88151447,-5.265129662,,0.07,2.31,17197.738,6.7,235.547,0
2/4/14,1755.199951,4068410000,1767.722665,1784.091222,-14.77428457,36.08988225,1879.717185,1747.928799,1.174E+11,31.44132752,33.22926506,-4.805298585,,0.07,2.33,17197.738,6.7,235.547,0
2/5/14,1751.640015,3984290000,1762.361781,1778.191002,-16.64705169,35.3707078,1879.691245,1739.33074,1.13416E+11,33.44479908,26.13521399,-5.0529564,,0.07,2.38,17197.738,6.7,235.547,0
2/6/14,1773.430054,3825410000,1766.051205,1777.325375,-16.18637265,42.87447615,1876.934004,1735.681987,1.17241E+11,33.72114547,32.90502083,-3.009631515,,0.07,2.4,17197.738,6.7,235.547,0
2/7/14,1797.02002,3775990000,1776.374143,1780.90622,-13.75916106,49.68528956,1873.432392,1735.0726,1.21017E+11,32.3672666,39.72515213,0.375915652,,0.07,2.41,17197.738,6.7,235.547,0
2/10/14,1799.839966,3312160000,1784.196084,1784.348719,-11.47574702,50.44587293,1869.066829,1735.18516,1.24329E+11,30.99619594,39.09944429,1.026061801,1737.920044,0.07,2.38,17197.738,6.7,235.547,0
2/11/14,1819.75,3699380000,1796.047389,1790.785315,-7.967704834,55.55440817,1869.122814,1735.18418,1.28029E+11,29.10268242,39.40348115,1.520223152,1739.160442,0.07,2.4,17197.738,6.7,235.547,0
2/12/14,1819.26001,3326380000,1803.78493,1795.962533,-5.16752622,55.40303455,1866.516198,1735.828797,1.24702E+11,27.48757159,46.14288001,2.539739592,1742.535626,0.07,2.45,17197.738,6.7,235.547,0
2/13/14,1829.829956,3289510000,1812.466605,1802.120246,-2.071578301,58.05795397,1863.371047,1737.118943,1.27992E+11,25.62096591,53.61521629,1.986412577,1747.576491,0.07,2.41,17197.738,6.7,235.547,0
2/14/14,1838.630005,3114750000,1821.187738,1808.758384,1.079627847,60.18320075,1862.029879,1737.73411,1.31107E+11,24.45592794,60.61554632,3.14374254,1754.190372,0.07,2.43,17197.738,6.7,235.547,0
2/18/14,1840.76001,3421110000,1827.711829,1814.576861,3.706133022,60.7022489,1862.396157,1737.573838,1.34528E+11,23.43375883,60.67648227,5.676018249,1762.936337,0.07,2.4,17197.738,6.7,235.547,0
2/19/14,1828.75,3661570000,1828.057886,1817.153796,4.76363763,56.24969749,1859.849499,1738.615492,1.30866E+11,22.00308016,60.8933822,4.19040855,1772.528376,0.07,2.4,17197.738,6.7,235.547,0
2/20/14,1839.780029,3404980000,1831.965267,1821.267656,6.417768789,59.20898183,1858.86681,1739.090185,1.34271E+11,20.53114237,60.85142313,5.031856655,1783.024403,0.07,2.42,17197.738,6.7,235.547,-0.1
2/21/14,1836.25,3403880000,1833.393511,1823.991719,7.359005751,57.86010839,1860.113409,1738.62259,1.30867E+11,19.36274776,68.31370485,3.542284972,1792.050987,0.07,2.4,17197.738,6.7,235.547,0
2/24/14,1847.609985,4014530000,1838.132336,1828.285949,8.918788461,60.94371316,1866.313049,1738.154944,1.34882E+11,18.97971165,77.12560325,2.81521437,1799.813849,0.07,2.4,17197.738,6.7,235.547,0
2/25/14,1845.119995,3515560000,1840.461556,1831.346685,9.840570127,59.90890175,1871.35201,1739.471977,1.31366E+11,18.62403527,77.67213932,2.515780856,1809.237227,0.07,2.36,17197.738,6.7,235.547,0
2/26/14,1845.160034,3716730000,1842.027715,1833.858203,10.45381449,59.92068658,1875.890352,1740.199639,1.35083E+11,18.29376435,85.36559904,1.39634753,1817.152864,0.07,2.34,17197.738,6.7,235.547,0
2/27/14,1854.290039,3547460000,1846.115156,1837.573082,11.54346429,62.61903403,1880.878793,1743.220206,1.3863E+11,18.10245299,85.3337305,1.925509774,1823.802,0.07,2.32,17197.738,6.7,235.547,0
2/28/14,1859.449951,3917450000,1850.560088,1841.550695,12.67724598,64.09047628,1886.589781,1744.035219,1.42548E+11,18.68375891,85.41787611,1.618729381,1829.387273,0.07,2.33,17197.738,6.7,235.547,0
3/3/14,1845.72998,3428220000,1848.950052,1842.310565,12.32659585,57.59819756,1889.261279,1747.677722,1.3912E+11,18.15814594,78.5196501,0.386155755,,0.08,2.28,17197.738,6.7,236.028,0
3/4/14,1873.910034,3765770000,1857.270046,1848.055923,14.15937743,65.35988716,1890.484797,1759.656206,1.42885E+11,18.6289957,78.59399914,1.800887907,1834.439941,0.08,2.37,17197.738,6.7,236.028,0
