date,Adj Close,Volume,EMA_5,EMA_10,MACD,RSI,Bollinger_High,Bollinger_Low,OBV,ADX,MFI,MOM,SAR,Interest Rate,Yield Spread,GDP,Unemployment Rate,Inflation Rate,news_sentiment
1/17/14,16458.56055,184970000,16430.66868,16419.470463875507,102.23791534314478,58.28361521756436,16618.12492493064,16211.16111022561,4284730000,24.41654713529724,45.63331028966621,-0.069397051,,0.07,2.44,17197.738,6.6,235.288,0
1/21/14,16414.43945,111570000,16425.25894051767,16418.55573464814,94.96716341970387,55.71221008868746,16598.90149292125,16253.920479735005,4173160000,23.373416236310582,39.76708358781208,-0.064901623,16240.59961,0.07,2.45,17197.738,6.6,235.288,0
1/22/14,16373.33984,87470000,16407.952574928448,16410.33466357575,84.90985716578507,53.35095800909265,16581.18543022526,16286.856561962237,4085690000,22.404794687251545,33.78669796365632,-0.953361482,16246.19961,0.07,2.43,17197.738,6.6,235.288,0
1/23/14,16197.34961,100540000,16337.751586410632,16371.610108266523,62.02346055327507,44.62848441221806,16599.094351938005,16259.221566030743,3985150000,21.935260025131665,33.34755083156236,-1.612068351,,0.07,2.4,17197.738,6.6,235.288,0
1/24/14,15879.11035,141450000,16184.871174794589,16282.0647,17.999095512243002,33.85097351181979,16698.620142479696,16111.85183017655,3843700000,23.030626778345113,31.87300601339757,-3.439693994,,0.07,2.38,17197.738,6.6,235.288,0
1/27/14,15837.87988,127540000,16069.207410800562,16201.303822475935,-19.98708652,32.74756937958584,16754.209196554668,15992.062678445329,3716160000,24.456024973881533,31.15795674288242,-3.645245771,,0.07,2.41,17197.738,6.6,235.288,0
1/28/14,15928.55957,89110000,16022.324797304544,16151.713958446218,-42.28685992,37.56760105013693,16769.32556397987,15921.961252426378,3805270000,25.746990899755563,31.36945673899106,-2.025969161,,0.07,2.39,17197.738,6.6,235.288,0
1/29/14,15738.79004,109590000,15927.813211223864,16076.636882194633,-74.414601,32.34330835,16799.57491287758,15815.162001184925,3695680000,27.466694406012305,31.331371194734118,-3.87856192,,0.07,2.33,17197.738,6.6,235.288,0
1/30/14,15848.61035,92100000,15901.41225800341,16035.17751298879,-89.97728375,37.739273036123734,16785.314900895875,15756.617032697875,3787780000,29.06356194753643,37.12284557646269,-3.84256418,,0.07,2.36,17197.738,6.6,235.288,0
1/31/14,15698.84961,137090000,15833.891375127274,15974.026985059008,-113.0916125,33.782426766855096,16798.375351633684,15669.306581960067,3650690000,30.956350087619295,36.024173246908944,-4.374488208,,0.07,2.33,17197.738,6.6,235.288,0
2/3/14,15372.7998,151050000,15680.194184980684,15864.712952264188,-155.9220071,27.116507558595643,16845.15400893764,15512.808881687362,3499640000,33.40488058156175,35.31035032534646,-6.596936221,,0.07,2.31,17197.738,6.7,235.547,-0.016666667
2/4/14,15445.24023,124110000,15601.876201445459,15788.445185375243,-181.9229713,30.40234132441293,16857.824339493447,15402.15261363155,3623750000,35.67851604,28.78608385160875,-5.904552644,,0.07,2.33,17197.738,6.7,235.547,0.061904762
2/5/14,15440.23047,105130000,15547.994290546972,15725.133418716106,-200.6205403,30.300602024557378,16837.58783643561,15313.31821825189,3518620000,37.82737586544364,22.504131297829744,-5.698955643,,0.07,2.38,17197.738,6.7,235.547,-0.111111111
2/6/14,15628.53027,106980000,15574.83961817715,15707.56921048363,-197.9622918,38.615511069810964,16797.83684159479,15269.648216998958,3625600000,38.210467875749096,28.587774747430558,-3.511805015,,0.07,2.4,17197.738,6.7,235.547,0.024999999999999998
2/7/14,15794.08008,105780000,15647.919771493102,15723.298459145697,-180.4173858,44.845314906732646,16747.738425045474,15254.678664798277,3731380000,37.16614265651505,24.677919462874613,-0.535485122,,0.07,2.41,17197.738,6.7,235.547,0.046590909090909086
2/10/14,15801.79004,84110000,15699.209860682902,15737.569655494206,-164.0002985,45.12463446,16692.794080019594,15246.096935605405,3815490000,36.17083552633569,30.569009278833036,-0.227870422,15340.69043,0.07,2.38,17197.738,6.7,235.547,0.083333333
2/11/14,15994.76953,95930000,15797.729750871937,15784.333269267987,-133.8745835,51.71587236048781,16667.639874559143,15244.934051222106,3911420000,33.692621134183206,36.63244749814975,0.4156682256498667,15349.91242,0.07,2.4,17197.738,6.7,235.547,-0.14
